epoch,test_accuracy,train_accuracy,train_loss
1,0.0957999974489212,0.09849090874195099,2.307795763015747
2,0.10320000350475311,0.09945454448461533,2.308896780014038
3,0.0957999974489212,0.09849090874195099,2.3067078590393066
4,0.09740000218153,0.09798181802034378,2.3036534786224365
5,0.10279999673366547,0.10390909016132355,2.309081792831421
6,0.11349999904632568,0.11234545707702637,2.3085949420928955
7,0.09740000218153,0.09798181802034378,2.308246374130249
8,0.11349999904632568,0.11234545707702637,2.3104755878448486
9,0.11349999904632568,0.11234545707702637,2.3125810623168945
10,0.09799999743700027,0.0989818200469017,2.313929319381714
11,0.09799999743700027,0.0989818200469017,2.31294322013855
12,0.10090000182390213,0.09916363656520844,2.3090059757232666
13,0.11349999904632568,0.11234545707702637,2.3058958053588867
14,0.10279999673366547,0.10390909016132355,2.3092586994171143
15,0.09740000218153,0.09798181802034378,2.3092942237854004
16,0.10320000350475311,0.09945454448461533,2.3152880668640137
17,0.11349999904632568,0.11234545707702637,2.310713768005371
18,0.09799999743700027,0.0989818200469017,2.3142378330230713
19,0.10090000182390213,0.09916363656520844,2.303277015686035
20,0.0957999974489212,0.09849090874195099,2.317054510116577
21,0.09740000218153,0.09798181802034378,2.318880796432495
22,0.0957999974489212,0.09849090874195099,2.308879852294922
23,0.0957999974489212,0.09849090874195099,2.3125226497650146
24,0.10279999673366547,0.10390909016132355,2.310384511947632
25,0.10279999673366547,0.10390909016132355,2.3128836154937744
26,0.08919999748468399,0.09067272394895554,2.313636541366577
27,0.10100000351667404,0.10250908881425858,2.3130455017089844
28,0.11349999904632568,0.11234545707702637,2.3070058822631836
29,0.10100000351667404,0.10250908881425858,2.314161539077759
30,0.09740000218153,0.09798181802034378,2.3058032989501953
31,0.11349999904632568,0.11234545707702637,2.3160691261291504
32,0.10100000351667404,0.10250908881425858,2.3118953704833984
33,0.11349999904632568,0.11234545707702637,2.3058881759643555
34,0.10100000351667404,0.10250908881425858,2.3071887493133545
35,0.0982000008225441,0.09649091213941574,2.3118836879730225
36,0.10100000351667404,0.10250908881425858,2.3067967891693115
37,0.11349999904632568,0.11234545707702637,2.3145415782928467
38,0.11349999904632568,0.11234545707702637,2.3080344200134277
39,0.10320000350475311,0.09945454448461533,2.3143186569213867
40,0.10100000351667404,0.10250908881425858,2.3082175254821777
41,0.11349999904632568,0.11234545707702637,2.3099968433380127
42,0.11349999904632568,0.11234545707702637,2.322923183441162
43,0.10090000182390213,0.09916363656520844,2.3141207695007324
44,0.11349999904632568,0.11234545707702637,2.3051552772521973
45,0.10279999673366547,0.10390909016132355,2.30728816986084
46,0.0982000008225441,0.09649091213941574,2.3165371417999268
